id,member_id,year,promised_amount,created_at,updated_at
63fc9deb-53ed-4ad4-8cb5-0470f09ad78a,30f2c823-7345-4565-bfb6-ab6a2b17c0bc,2026,1040.00,2026-02-20 12:33:24.262532+00,2026-02-20 12:33:24.262532+00
6baaf6c0-f631-4447-8983-31ea2d343195,b18ba356-3472-4903-ab17-4f430d35bd01,2026,6240.00,2026-02-20 12:33:24.262532+00,2026-02-20 12:33:24.262532+00
6d0ca79f-3933-40a8-9b6b-993b25e14936,39fed438-3910-40f8-bae8-7d51d79becf6,2026,5200.00,2026-02-20 12:33:24.262532+00,2026-02-20 12:33:24.262532+00
6ff994d1-503f-487b-aeae-e412605caad6,e2f5122c-ba8e-48f1-9b4a-382e2cfb4ab3,2026,884.00,2026-02-20 12:33:24.262532+00,2026-02-20 12:33:24.262532+00
9040b79f-069f-4663-ad6c-a62cf593f40a,4ebba06b-eb4d-42f2-9c43-7c00e6c86f09,2026,1560.00,2026-02-20 12:33:24.262532+00,2026-02-20 12:33:24.262532+00
9130259a-fea3-4aee-ad09-87b54b2df3ad,1b517c02-f84c-4f7a-9549-c05fd3a908f4,2026,7800.00,2026-02-20 12:33:24.262532+00,2026-02-20 12:33:24.262532+00
9975a468-6468-42e5-9337-dbc806739de4,b6caab6a-8e6b-4519-8493-445b0cd54ded,2026,4160.00,2026-02-20 12:33:24.262532+00,2026-02-20 12:33:24.262532+00
9ec17c9f-25a2-4da6-9942-864bea6cdd57,0cfadef1-6bec-4ea0-b247-43b62f8fdf87,2026,780.00,2026-02-20 12:33:24.262532+00,2026-02-20 12:33:24.262532+00
a54624da-f727-4a07-83e7-e315aaa3fad0,49a2ba69-e826-4860-8553-692861826304,2026,59280.00,2026-02-20 12:33:24.262532+00,2026-02-20 12:33:24.262532+00
aa637f3a-d453-4f86-92f7-c57144ad0deb,07ff5f58-e58c-473c-9b2e-a0443f616f4d,2026,9360.00,2026-02-20 12:33:24.262532+00,2026-02-20 12:33:24.262532+00
b0d21e46-5c10-4fae-b0b5-9709ff90e694,cc991436-8dbb-4193-bb3a-122eb999b246,2026,780.00,2026-02-20 12:33:24.262532+00,2026-02-20 12:33:24.262532+00
cfd4c893-7a36-44a5-b082-8225201e8c42,6833f64f-47aa-4bdd-8597-33244d57cb66,2026,1040.00,2026-02-20 12:33:24.262532+00,2026-02-20 12:33:24.262532+00
d8bc62bb-7ea2-4e7a-953d-c1c22612ad77,5de9b976-e6b8-4eef-ab61-b7d3174a1954,2026,9360.00,2026-02-20 12:33:24.262532+00,2026-02-20 12:33:24.262532+00
de2b3b8c-7a54-4f20-8df9-7f0b2bcd8fe5,bc7887ad-5318-4c5c-88a0-5607e25306a9,2026,36400.00,2026-02-20 12:33:24.262532+00,2026-02-20 12:33:24.262532+00
eb808163-1725-46de-87b4-adb36ec28093,79da7005-f6bc-4244-b9b6-f1b608de548e,2026,39000.00,2026-02-20 12:33:24.262532+00,2026-02-20 12:33:24.262532+00
ee70d2c1-680f-4aea-b561-51ad8034ebd0,679f970e-f90e-401f-ab93-610a47edd05a,2026,780.00,2026-02-20 12:33:24.262532+00,2026-02-20 12:33:24.262532+00
f5caaea0-77c5-43f2-bcca-accf6fcd34c4,6125dfcf-c12f-4888-a095-2dbeda289736,2026,7800.00,2026-02-20 12:33:24.262532+00,2026-02-20 12:33:24.262532+00
f6ba3dda-2303-4c7d-b675-140e3b09f312,dcdda3e2-a70c-453e-a6f6-1a159bf2a617,2026,520.00,2026-02-20 12:33:24.262532+00,2026-02-20 12:33:24.262532+00
f76a9c46-ba2e-49cd-806b-c75484cc37a9,1d013fc0-7ca2-4821-be8b-66292ce22778,2026,260.00,2026-02-20 12:33:24.262532+00,2026-02-20 12:33:24.262532+00
f7ccdccb-3719-4b11-bb4c-4a6f9bbc2196,fd5557c3-2b36-4979-a076-76eb8a9130e1,2026,520.00,2026-02-20 12:33:24.262532+00,2026-02-20 12:33:24.262532+00
