id,member_id,position_name,position_category,department,specific_role,start_date,end_date,is_active,assignment_reason,created_at,is_ministry_head
6530c691-73a4-4ea7-9447-8b4d11c4fa33,79da7005-f6bc-4244-b9b6-f1b608de548e,Pianist,music_ministry,Main Choir,,2026-02-21,,true,Sunday Afternoon & Wednesday Evening,2026-02-21 02:50:28.108607+00,true
6d8b71d0-c7c6-4041-a4f8-fca1db46dd3a,975dc527-2731-4e33-8708-8f2bbd19e0fa,Violinist,music_ministry,Mini-Ensemble,,2026-02-21,,true,,2026-02-22 03:10:01.761221+00,false
71bf1f41-12ac-4db9-a784-6d7abd1e949b,1444bd49-ecdd-4853-bfe9-0fccd515f512,Tenor,music_ministry,Main Choir,,2026-02-21,,true,Sunday Afternoon & Wednesday Evening,2026-02-21 02:31:13.955333+00,false
78505e58-e31b-4f79-8aa4-1ecd0163e69b,07ff5f58-e58c-473c-9b2e-a0443f616f4d,Bass,music_ministry,Main Choir,,2026-02-21,,true,Sunday Afternoon & Wednesday Evening,2026-02-21 02:31:13.955333+00,false
79ef980c-f31c-4d73-8fe8-fb56289385b5,6833f64f-47aa-4bdd-8597-33244d57cb66,Violinist,music_ministry,Mini-Ensemble,,2026-02-21,,true,,2026-02-22 03:11:02.805132+00,false
8b8fee58-a841-4820-bf6e-ea7490a5302a,39fed438-3910-40f8-bae8-7d51d79becf6,Bass,music_ministry,Main Choir,,2026-02-21,,true,Sunday Afternoon & Wednesday Evening,2026-02-21 02:31:13.955333+00,false
963b2d9b-4fa8-4ee2-8df9-6ea9fac9e154,30f2c823-7345-4565-bfb6-ab6a2b17c0bc,Soprano,music_ministry,Main Choir,,2026-02-21,,true,Sunday Afternoon & Wednesday Evening,2026-02-21 12:12:22.900348+00,false
972951de-28a5-4e31-817a-67971dd0c818,e2f5122c-ba8e-48f1-9b4a-382e2cfb4ab3,Violinist,music_ministry,Mini-Ensemble,,2026-02-21,,true,,2026-02-22 03:11:02.805132+00,false
9a8227c2-1617-4a7d-8814-36b79192ca59,b6caab6a-8e6b-4519-8493-445b0cd54ded,Soprano,music_ministry,Main Choir,,2026-02-21,,true,Sunday Afternoon & Wednesday Evening,2026-02-21 06:26:56.165633+00,false
a174bd6b-fd45-43d8-8aff-706cd884ca44,99123d5b-9d62-4729-b90a-0f918aa6002f,Teacher,sunday_school_adult,Sunday School Children,,2026-02-21,,true,Sunday 8:30,2026-02-21 02:56:26.763858+00,true
a2f565e3-448c-406e-b846-050fbd041377,79da7005-f6bc-4244-b9b6-f1b608de548e,Teacher,sunday_school_adult,Sunday School Adult & Beginners Class,,2026-02-21,2026-02-21,false,Sunday 8:30,2026-02-21 02:53:18.089471+00,false
ac0527a0-82d7-421b-91c1-ab52b82dc085,c360fe8b-e4bf-40e0-ad9b-d5987c32d385,Pianist,music_ministry,Mini-Ensemble,,2026-02-21,,true,,2026-02-22 03:11:02.805132+00,false
b2c02567-0d51-4cc6-8ecd-e6e3286fde1d,0cfadef1-6bec-4ea0-b247-43b62f8fdf87,Violinist,music_ministry,Mini-Ensemble,,2026-02-21,,true,,2026-02-22 03:11:02.805132+00,false
b42896d3-2b40-4b70-bcfa-2ce7c05326db,47a92b6c-ed98-4f0e-80ac-4db2c06f0a84,Teacher,sunday_school_adult,Sunday School Children,,2026-02-21,,true,Sunday 8:30,2026-02-21 02:09:02.75823+00,false
ba3a604b-2c8f-47ca-9178-062fd215a160,c10fa4ef-da03-4be4-8370-ed5e02a7bfa6,Teacher,sunday_school_adult,Sunday School Children,,2026-02-21,,true,Sunday 8:30,2026-02-21 02:09:02.75823+00,false
bbdb78b8-b690-446a-8aa8-16a35f144e34,47a92b6c-ed98-4f0e-80ac-4db2c06f0a84,Violinist,music_ministry,Mini-Ensemble,,2026-02-21,,true,,2026-02-22 03:11:02.805132+00,false
be3a6bcb-da66-439b-8e16-ef211eac2010,da991148-4066-4fc0-88d3-7f9530b8acac,Tenor,music_ministry,Main Choir,,2026-02-21,,true,Sunday Afternoon & Wednesday Evening,2026-02-22 03:08:50.08924+00,false
bfc9a233-1a89-4ac8-9368-73c97418aac4,39fed438-3910-40f8-bae8-7d51d79becf6,Flutist,music_ministry,Mini-Ensemble,,2026-02-21,,true,,2026-02-22 03:10:01.761221+00,false
c5ec18aa-fd33-4a6c-a867-84624d5498d1,c10fa4ef-da03-4be4-8370-ed5e02a7bfa6,Soprano,music_ministry,Main Choir,,2026-02-21,,true,Sunday Afternoon & Wednesday Evening,2026-02-21 02:52:46.827826+00,false
c939a9eb-7a14-46cd-88aa-7b9dcef2eff5,4ebba06b-eb4d-42f2-9c43-7c00e6c86f09,Bass,music_ministry,Main Choir,,2026-02-21,,true,Sunday Afternoon & Wednesday Evening,2026-02-21 02:31:13.955333+00,false
d7c4d9ca-8206-4e8e-b66d-5de7c1da42e4,c10fa4ef-da03-4be4-8370-ed5e02a7bfa6,Soprano,music_ministry,Main Choir,,2026-02-21,2026-02-21,false,,2026-02-21 02:31:13.955333+00,true
de2b8815-b716-421d-afe4-2c5bb9b0a285,79da7005-f6bc-4244-b9b6-f1b608de548e,Pianist,music_ministry,Mini-Ensemble,,2026-02-21,,true,,2026-02-22 03:10:01.761221+00,false
e03cb50f-61e7-40c5-900a-f8744de367b0,e2f5122c-ba8e-48f1-9b4a-382e2cfb4ab3,Soprano,music_ministry,Main Choir,,2026-02-21,,true,Sunday Afternoon & Wednesday Evening,2026-02-21 12:12:22.900348+00,false
e0d5b4a2-d3bf-44b9-b80a-a619773c357e,b6caab6a-8e6b-4519-8493-445b0cd54ded,Alto,music_ministry,Main Choir,,2026-02-21,,true,Sunday Afternoon & Wednesday Evening,2026-02-22 03:08:50.08924+00,false
ed2ca2ec-8194-48cb-b13c-9d923d047943,99123d5b-9d62-4729-b90a-0f918aa6002f,Soprano,music_ministry,Main Choir,,2026-02-21,,true,Sunday Afternoon & Wednesday Evening,2026-02-22 03:08:50.08924+00,false
ef727958-1b29-4045-82ea-24b9e3d41a28,7ba89542-e3bd-4704-bdbe-699973e1390b,Violinist,music_ministry,Mini-Ensemble,,2026-02-21,,true,,2026-02-22 03:11:02.805132+00,false
